SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,DELIVERY
20MICRONS,20210312,38.6,39.25,37.6,37.75,106676,72160
21STCENMGM,20210312,13.0,13.0,13.0,13.0,10392,10392
3IINFOTECH,20210312,8.45,8.45,8.15,8.45,19992750,12211552
3MINDIA,20210312,25804.0,27749.85,25804.0,27335.35,8718,4802
3PLAND,20210312,9.4,9.6,9.1,9.5,8624,6565
448GS2023,20210312,101.9,101.9,101.9,101.9,1,1
5PAISA,20210312,289.0,289.0,275.0,279.65,26445,14811
619GS2034,20210312,99.22,99.22,99.22,99.22,50,50
63MOONS,20210312,80.95,81.0,78.9,79.05,41751,29124
772GS2049,20210312,117.1,117.5,116.97,116.97,44,44
A2ZINFRA,20210312,4.3,4.35,4.15,4.2,410126,284556
AAATECH,20210312,42.95,42.95,42.9,42.9,6000,3000
AARON,20210312,62.2,63.35,62.0,63.0,2305,1858
AARTIDRUGS,20210312,676.5,709.9,668.0,688.3,1427665,279942
AARTIIND,20210312,1284.5,1292.85,1266.5,1283.5,165582,76262
AARTISURF,20210312,1045.0,1045.0,999.0,1006.05,8809,5750
AARVEEDEN,20210312,17.65,18.5,17.25,17.7,5106,3237
AARVI,20210312,56.0,57.2,55.8,55.85,7356,5525
AAVAS,20210312,2233.0,2275.0,2207.4,2249.95,48262,31660
ABAN,20210312,40.55,40.55,37.9,38.15,173896,114265
ABB,20210312,1473.0,1481.25,1455.0,1471.1,61753,20346
ABBOTINDIA,20210312,14689.4,14718.9,14503.3,14616.25,17952,14667
ABCAPITAL,20210312,134.8,135.2,128.5,131.3,2937746,1239898
ABFRL,20210312,220.1,221.25,216.65,218.65,1417112,713550
ABFRLPP1,20210312,184.0,185.85,180.0,184.3,130569,124136
ABMINTLTD,20210312,63.8,65.65,60.15,60.95,2269,1157
ABSLBANETF,20210312,360.0,361.2,349.52,350.5,701,97
ABSLNN50ET,20210312,366.0,386.0,355.1,364.9,116,63
ABSLRIF6RG,20210312,8.38,8.55,8.38,8.55,58500,58500
ACC,20210312,1843.9,1848.0,1782.0,1787.65,1032982,343681
ACCELYA,20210312,904.35,910.05,892.35,898.0,2718,1787
ACCURACY,20210312,54.9,56.9,53.55,53.8,29079,22449
ACE,20210312,165.7,175.0,159.1,166.9,3278642,2040328
ACRYSIL,20210312,366.3,374.5,348.0,350.65,132965,103803
ADANIENT,20210312,905.0,923.8,889.3,894.1,6049852,1093106
ADANIGREEN,20210312,1200.0,1200.0,1154.2,1160.6,296923,175131
ADANIPORTS,20210312,749.0,752.1,723.0,728.15,10961076,3300543
ADANIPOWER,20210312,75.5,79.3,73.95,75.55,38391001,10869032
ADANITRANS,20210312,737.0,785.5,734.5,773.7,1537523,798093
ADFFOODS,20210312,935.0,939.9,903.0,913.15,22478,12294
ADHUNIKIND,20210312,20.7,21.55,20.65,21.15,21934,14343
ADORWELD,20210312,317.7,326.0,315.0,323.25,48314,29668
ADSL,20210312,41.25,44.5,40.95,41.55,533564,314554
ADVANIHOTR,20210312,65.8,68.35,62.35,62.75,38873,26930
ADVENZYMES,20210312,353.4,359.5,352.1,354.2,118283,60088
AEGISCHEM,20210312,327.0,328.4,302.6,304.5,612436,330545
