SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,DELIVERY
20MICRONS,20160225,26.25,26.5,25.0,25.45,17346,15131
3IINFOTECH,20160225,4.2,4.2,3.9,3.95,798384,431742
3MINDIA,20160225,10560.0,10625.0,10270.0,10299.45,818,733
8KMILES,20160225,1595.05,1636.0,1572.05,1581.95,22449,7146
A2ZINFRA,20160225,19.7,20.75,17.6,17.9,646456,407599
AARTIDRUGS,20160225,466.0,480.0,466.0,473.8,2790,1796
AARTIIND,20160225,426.8,432.95,420.75,424.4,12645,6159
AARVEEDEN,20160225,49.55,53.9,49.3,51.0,2851,675
ABAN,20160225,163.0,164.8,157.0,159.8,665402,123383
ABB,20160225,1081.0,1088.9,1035.1,1050.35,45324,19629
ABBOTINDIA,20160225,4895.0,4895.0,4710.0,4749.8,860,523
ABFRL,20160225,144.2,144.9,139.95,140.95,2465443,2319110
ABGSHIP,20160225,54.2,55.25,53.5,53.85,337887,146356
ABIRLANUVO,20160225,724.95,731.35,692.5,697.35,491653,289780
ACC,20160225,1231.4,1234.8,1196.0,1199.85,208252,83974
ACCELYA,20160225,855.5,881.25,855.1,873.6,2291,1874
ACE,20160225,37.4,37.65,36.05,36.2,46439,25625
ACROPETAL,20160225,2.8,3.0,2.8,2.95,13384,12403
ADANIENT,20160225,61.75,62.0,59.85,60.2,2999322,755381
ADANIPORTS,20160225,201.3,201.9,195.45,198.45,4868927,2886034
ADANIPOWER,20160225,27.9,28.1,27.35,27.75,7289396,1958593
ADANITRANS,20160225,29.3,29.6,28.35,28.5,477480,347548
ADFFOODS,20160225,66.45,67.85,65.55,66.7,15840,13623
ADHUNIK,20160225,10.1,10.7,10.05,10.35,21799,17976
ADI,20160225,211.0,219.4,210.0,210.0,6168,6131
ADLABS,20160225,69.0,72.4,68.25,70.0,48819,31814
ADORWELD,20160225,237.2,245.0,234.1,243.45,7040,5621
ADSL,20160225,35.25,36.45,34.45,34.9,162340,83829
ADVANIHOTR,20160225,46.2,46.2,46.1,46.15,1000,1000
ADVANTA,20160225,393.0,396.0,370.5,392.95,8453,3201
AEGISCHEM,20160225,85.05,86.55,84.0,84.3,33114,26671
AFL,20160225,39.55,41.0,39.5,40.25,6820,3868
AGARIND,20160225,145.9,154.95,145.9,151.8,22700,8597
AGCNET,20160225,59.0,60.95,58.0,58.3,3084,2193
AGRODUTCH,20160225,2.95,2.95,2.8,2.8,4701,4301
AHLEAST,20160225,131.0,135.0,125.0,128.9,95,77
AHLUCONT,20160225,224.25,224.25,209.5,212.6,41858,23423
AHLWEST,20160225,118.1,121.9,118.1,121.9,200,0
AIAENG,20160225,785.0,824.9,760.1,805.95,187027,177168
AIFL,20160225,237.0,246.0,234.0,244.15,17790,5182
AIL,20160225,563.65,582.55,558.1,569.2,10909,4641
AJANTPHARM,20160225,1347.9,1379.95,1290.1,1300.15,447019,142218
AJMERA,20160225,113.0,114.0,108.05,109.65,26765,12658
AKSHOPTFBR,20160225,12.7,12.75,12.15,12.25,827750,428790
AKZOINDIA,20160225,1301.0,1306.0,1271.25,1298.4,7316,3367
ALANKIT,20160225,90.0,90.75,87.05,87.5,627507,104373
ALBK,20160225,43.5,44.5,43.2,43.95,3290207,1012014
ALCHEM,20160225,20.0,21.25,20.0,20.5,5500,2750
ALEMBICLTD,20160225,34.0,34.8,34.0,34.25,84654,61519
ALICON,20160225,264.0,266.95,257.05,261.2,681,621
ALKALI,20160225,34.9,37.8,34.9,36.95,656,522
ALKEM,20160225,1282.3,1285.0,1260.0,1272.15,30759,19507
ALKYLAMINE,20160225,295.1,314.7,289.9,291.3,3743,2711
ALLCARGO,20160225,150.0,153.7,146.0,147.1,48462,26732
ALLSEC,20160225,94.95,96.0,93.1,93.65,6789,4544
ALMONDZ,20160225,9.05,9.9,9.0,9.7,830,600
ALOKTEXT,20160225,4.0,4.05,3.95,4.0,686039,387405
ALPHAGEO,20160225,506.7,520.0,505.0,511.65,1838,1189
ALPSINDUS,20160225,4.1,4.35,3.95,4.3,17791,11873
ALSTOMT&D,20160225,367.5,367.5,357.0,361.4,44723,23423
AMARAJABAT,20160225,882.0,890.85,853.25,863.0,360283,197517
AMBIKCO,20160225,770.1,783.0,750.3,770.65,2081,1240
AMBUJACEM,20160225,190.85,192.65,187.9,188.8,2832446,1983520
AMDIND,20160225,26.0,26.95,25.9,26.45,14204,9052
AMRUTANJAN,20160225,399.5,399.5,385.1,385.9,5670,3981
AMTEKAUTO,20160225,30.0,31.2,29.3,29.6,1969925,739691
AMTL,20160225,22.0,23.5,22.0,23.5,208,208
ANANDAMRUB,20160225,16.45,16.45,15.2,15.2,102,101
ANANTRAJ,20160225,28.65,29.0,27.8,28.05,392148,208175
ANDHRABANK,20160225,47.6,47.6,46.7,46.95,1663189,626484
ANDHRACEMT,20160225,7.4,7.5,6.85,6.9,231732,166502
ANDHRSUGAR,20160225,109.7,114.95,109.7,112.05,8092,4424
ANGIND,20160225,37.5,37.8,35.6,36.05,20890,9171
ANKITMETAL,20160225,1.8,1.8,1.7,1.7,81417,73535
ANSALAPI,20160225,15.4,16.15,15.4,15.7,20889,13851
ANSALHSG,20160225,19.05,19.35,18.15,19.05,16381,11498
APARINDS,20160225,436.75,439.55,420.1,424.0,19483,13691
APCOTEXIND,20160225,185.25,191.5,185.25,188.95,2788,2121
APLAPOLLO,20160225,604.0,609.0,580.0,589.75,15669,13655
APLLTD,20160225,620.0,620.0,608.6,613.95,87224,78177
APOLLOHOSP,20160225,1433.0,1457.6,1433.0,1444.7,151914,63869
APOLLOTYRE,20160225,161.8,161.8,157.0,158.1,2655870,791666
APOLSINHOT,20160225,190.0,190.0,190.0,190.0,1,1
APTECHT,20160225,54.0,55.0,53.25,53.75,110035,45453
